file;size;repeat;TOT_CYC;L1_CACHE_MISSES;TOT_INS
test_addition_static;2;10000;62005;230;174553
test_addition_static;2;10000;62683;233;174553
test_addition_static;2;10000;62213;226;174553
test_addition_static;2;10000;62724;221;174553
test_addition_static;2;10000;62316;233;174553
test_addition_static;2;10000;61709;209;174553
test_addition_static;2;10000;62431;243;174553
test_addition_static;2;10000;62221;230;174553
test_addition_static;2;10000;62438;231;174553
test_addition_static;2;10000;62674;242;174553
test_addition_static;2;10000;82298;231;174553
test_addition_static;2;10000;62361;214;174553
test_addition_static;2;10000;61884;226;174553
test_addition_static;2;10000;62542;240;174553
test_addition_static;2;100000;511740;213;1704553
test_addition_static;2;100000;511444;218;1704553
test_addition_static;2;100000;533350;229;1704554
test_addition_static;2;100000;513082;228;1704553
test_addition_static;2;100000;712694;212;1704553
test_addition_static;2;100000;512258;226;1704559
test_addition_static;2;100000;512206;234;1704553
test_addition_static;2;100000;511867;226;1704553
test_addition_static;2;100000;514580;247;1704554
test_addition_static;2;100000;512101;229;1704553
test_addition_static;2;100000;512262;231;1704553
test_addition_static;2;100000;512820;234;1704553
test_addition_static;2;100000;512172;220;1704553
test_addition_static;2;100000;512355;221;1704553
test_addition_static;2;100000;511864;213;1704553
test_addition_static;2;100000;512018;225;1704553
test_addition_static;2;100000;512255;241;1704553
test_addition_static;2;100000;586505;220;1704554
test_addition_static;2;100000;511801;227;1704553
test_addition_static;2;100000;512934;235;1704553
test_addition_static;4;10;12761;233;4837
test_addition_static;4;10;12417;223;4837
test_addition_static;4;10;12251;229;4837
test_addition_static;4;10;14085;245;4838
test_addition_static;4;10;12407;220;4837
test_addition_static;4;10;14288;263;4837
test_addition_static;4;10;13153;234;4838
test_addition_static;4;10;12435;234;4837
test_addition_static;4;10;12184;240;4837
test_addition_static;4;10;12734;229;4837
test_addition_static;4;10;13327;236;4838
test_addition_static;4;10;12206;222;4837
test_addition_static;4;10;12612;233;4837
test_addition_static;4;10;12257;224;4837
test_addition_static;4;10;12258;229;4837
test_addition_static;4;10;12366;232;4837
test_addition_static;4;10;12103;221;4837
test_addition_static;4;10;12522;229;4837
test_addition_static;4;10;12257;228;4837
test_addition_static;4;10;12569;234;4837
test_addition_static;4;20;12462;235;5107
test_addition_static;4;20;12006;235;5107
test_addition_static;4;20;12586;226;5107
test_addition_static;4;20;12585;231;5107
test_addition_static;4;20;12659;237;5107
test_addition_static;4;20;12500;231;5107
test_addition_static;4;20;12583;210;5107
test_addition_static;4;20;12936;230;5107
test_addition_static;4;20;12351;218;5107
test_addition_static;4;20;12044;229;5107
test_addition_static;4;20;13707;229;5108
test_addition_static;4;20;12677;229;5107
test_addition_static;4;20;12657;237;5107
test_addition_static;4;20;12923;239;5107
test_addition_static;4;20;12776;229;5107
test_addition_static;4;20;12596;237;5107
test_addition_static;4;20;12280;227;5107
test_addition_static;4;20;12116;208;5107
test_addition_static;4;20;11547;215;5107
test_addition_static;4;20;12885;232;5107
test_addition_static;4;50;12731;224;5917
test_addition_static;4;50;12458;239;5917
test_addition_static;4;50;12406;219;5917
test_addition_static;4;50;13352;226;5918
test_addition_static;4;50;13224;242;5917
test_addition_static;4;50;13544;234;5917
test_addition_static;4;50;13064;239;5917
test_addition_static;4;50;13476;229;5917
test_addition_static;4;50;13154;224;5917
test_addition_static;4;50;12394;207;5917
test_addition_static;4;50;13019;229;5917
test_addition_static;4;50;13425;229;5918
test_addition_static;4;50;12700;210;5917
test_addition_static;4;50;12837;244;5917
test_addition_static;4;50;12756;240;5917
test_addition_static;4;50;12659;222;5917
test_addition_static;4;50;13311;234;5917
test_addition_static;4;50;13053;223;5917
test_addition_static;4;50;13429;233;5917
test_addition_static;4;50;13271;220;5917
test_addition_static;4;100;13406;224;7267
test_addition_static;4;100;13430;237;7267
test_addition_static;4;100;12699;233;7267
test_addition_static;4;100;12851;222;7267
test_addition_static;4;100;13110;224;7267
test_addition_static;4;100;13484;231;7267
test_addition_static;4;100;13161;238;7267
test_addition_static;4;100;13228;215;7267
test_addition_static;4;100;13473;236;7267
test_addition_static;4;100;12856;230;7267
test_addition_static;4;100;15089;230;7267
test_addition_static;4;100;13630;237;7267
test_addition_static;4;100;13412;228;7267
test_addition_static;4;100;13290;228;7267
test_addition_static;4;100;13028;217;7267
test_addition_static;4;100;13209;233;7267
test_addition_static;4;100;13353;228;7267
test_addition_static;4;100;13760;227;7267
test_addition_static;4;100;12906;222;7267
test_addition_static;4;100;13891;226;7267
test_addition_static;4;1000;21504;233;31567
test_addition_static;4;1000;21280;233;31567
test_addition_static;4;1000;22985;223;31568
test_addition_static;4;1000;21181;230;31567
test_addition_static;4;1000;26894;253;31567
test_addition_static;4;1000;21771;212;31567
test_addition_static;4;1000;21508;217;31567
test_addition_static;4;1000;21633;214;31567
test_addition_static;4;1000;21253;223;31567
test_addition_static;4;1000;22911;237;31567
test_addition_static;4;1000;21648;220;31567
test_addition_static;4;1000;22642;237;31567
test_addition_static;4;1000;21477;229;31567
test_addition_static;4;1000;22143;221;31567
test_addition_static;4;1000;21111;222;31567
test_addition_static;4;1000;22654;245;31567
test_addition_static;4;1000;21824;239;31567
test_addition_static;4;1000;21142;224;31567
test_addition_static;4;1000;21902;229;31568
test_addition_static;4;1000;21116;226;31567
test_addition_static;4;10000;103037;233;274567
test_addition_static;4;10000;104187;237;274569
test_addition_static;4;10000;102873;226;274567
test_addition_static;4;10000;103759;249;274568
test_addition_static;4;10000;102908;228;274567
test_addition_static;4;10000;102371;231;274567
test_addition_static;4;10000;112539;231;274567
test_addition_static;4;10000;102072;223;274567
test_addition_static;4;10000;102778;228;274567
test_addition_static;4;10000;103161;226;274568
test_addition_static;4;10000;102408;220;274567
test_addition_static;4;10000;102909;220;274567
test_addition_static;4;10000;106446;272;274567
test_addition_static;4;10000;102668;244;274567
test_addition_static;4;10000;102202;226;274567
test_addition_static;4;10000;102270;225;274567
test_addition_static;4;10000;102256;227;274567
test_addition_static;4;10000;102721;240;274567
test_addition_static;4;10000;112955;241;274567
test_addition_static;4;10000;102937;235;274567
test_addition_static;4;100000;912643;236;2704567
test_addition_static;4;100000;912305;222;2704567
test_addition_static;4;100000;912660;225;2704567
test_addition_static;4;100000;912313;234;2704567
test_addition_static;4;100000;1001824;252;2704568
test_addition_static;4;100000;912502;229;2704567
test_addition_static;4;100000;912361;239;2704567
test_addition_static;4;100000;912165;231;2704567
test_addition_static;4;100000;912685;219;2704567
test_addition_static;4;100000;912842;231;2704567
test_addition_static;4;100000;912381;232;2704567
test_addition_static;4;100000;912414;222;2704567
test_addition_static;4;100000;914480;245;2704568
test_addition_static;4;100000;1012621;232;2704567
test_addition_static;4;100000;912471;230;2704567
test_addition_static;4;100000;913246;229;2704568
test_addition_static;4;100000;912670;228;2704567
test_addition_static;4;100000;912608;235;2704567
test_addition_static;4;100000;1012056;220;2704567
test_addition_static;4;100000;912389;225;2704567
test_addition_static;8;10;13326;251;4769
test_addition_static;8;10;12736;248;4769
test_addition_static;8;10;13830;244;4769
test_addition_static;8;10;13039;229;4769
test_addition_static;8;10;13730;235;4769
test_addition_static;8;10;12937;229;4769
test_addition_static;8;10;14673;231;4770
test_addition_static;8;10;13796;238;4769
test_addition_static;8;10;13408;254;4769
test_addition_static;8;10;13328;238;4769
test_addition_static;8;10;13050;243;4769
test_addition_static;8;10;12934;247;4769
test_addition_static;8;10;13308;246;4769
test_addition_static;8;10;13387;244;4769
test_addition_static;8;10;13108;241;4775
test_addition_static;8;10;13810;238;4769
test_addition_static;8;10;13424;245;4769
test_addition_static;8;10;12954;245;4769
test_addition_static;8;10;12569;230;4769
test_addition_static;8;10;13396;238;4769
